Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
OSELTAMIVIR 75MG CAPSULES,,,,,,A/KK,") For treatment of patients with suspected or confirmed influenza and severe disease (requiring hospitalization or evidence of lower respiratory tract infection).
ii) For treatment of patients with suspected or confirmed influenza and with co-morbidity and associated with increased risk of influenza complications. Not to be used as prophylaxis.",,"Recommended dose in adults and adolescents ≥ 13 years of age and body weight >40kg is 75mg twice daily for 5 days.
Dosing adjustment for renal impaired patient, follow manufacturer's recommendations in product insert.",,,,,
EFAVIRENZ 200 MG CAPSULE,,,,,,A/KK,Combination therapy for HIV infections with a protease inhibitor and or Nucleoside Reverse Transcriptase Inhibitors (NRTIs),,"ADULT: 600 mg once daily. ADOLESCENT & CHILD less than 17 years, more than 40 kg: 600 mg once daily, 32.5 - less than 40 kg: 400 mg once daily, 25 - less than 32.5 kg: 350 mg once daily, 20 - less than 25 kg: 300 mg once daily, 15 - less than 20 kg: 250 mg once daily, 13 - less than 15 kg: 200 mg once daily. No studies in children less than 3 years or less than 13 kg. Formulation unsuitable for children less than 40 kg",,,,,
EFAVIRENZ 600 MG TABLET,,,,,,,,,,,,,,
NEVIRAPINE 200 MG TABLET,,,,,,A/KK,Treatment of HIV-1 infection in combination with other antiretroviral agents,,"Combined with other antiretrovirals: 200 mg once daily for the 1st 14 days; up to 200 mg twice daily if rash does not develop. Re-introduce at a lower dose for the 1st 14 days if treatment is interrupted for >7 days,necessitate reintroduction at a lower dose for the first 14 days.",,,,,
TENOFOVIR DISOPROXIL FUMARATE 300 MG & EMTRICITABINE 200 MG TABLET,,,,,,A/KK,Treatment of HIV-1 infection in adults in combination with other antiretroviral agents (such as non-nucleoside reverse transcriptase inhibitors or protease inhibitors).,,1 tablet once daily.,,,,,
ZIDOVUDINE 300 MG & LAMIVUDINE 150 MG TABLET,,,,,,A/KK,HIV infection in combination with at least one other antiretroviral drug,,ADULT and CHILD over 12 years: 1 tablet twice daily,,,,,
ALBENDAZOLE 200MG TABLET,,,,,, Child 12 - 24months: 200mg as a single dose for 3 consecutive days,i) Single or mixed infestations of intestinal parasites ii) Strongyloides infection,C+,i)Child 12-24months: 200mg as a single dose ii) Adult & Child above 2 years: 400mg as a single dose for 3 consecutive days,,,,,
ALBENDAZOLE 200MG/5ML  SUSPENSION,,,,,,C,,,,,,,,
DAPAGLIFLOZIN 10MG TABLET,,,,,,A/KK,"Indication 1: Dapagliflozin is indicated for use as an add-on combination therapy in combination with other glucose-lowering medicinal products including insulin, to improve glycemic control in adult patients with type 2 diabetes mellitus when these, together with diet and exercise, do not provide adequate glycaemic control. Indication 2: Dapagliflozin is indicated to reduce the risk of hospitalization for heart failure in adults with type 2 diabetes mellitus and established cardiovascular disease (CVD). Indication 3: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure (NYHA class ll-lV) with reduced ejection fraction. Indication 4: For cardiorenal protection in adult patients with chronic kidney disease, with or without Type 2 Diabetes Mellitus, with eGFR≥25mL/min/1.73m2 and urine albumin creatinine ratio (UACR) ≥200-5,000mg/m2 (or the equivalent in uPRC/u-dipstick) receiving stable treatment with ACEi or ARB (unless they are contraindicated or not tolerated).","50 PT (KKS), 
70 PT (KKBC,KKB,KKTS) 
100 PT (KKTPG,KKJ,KKTD)",10 mg once daily,,,,,
EMPAGLIFLOZIN 25MG TABLET,,,,,,,"Indication 1: Indicated in the treatment of type 2 diabetes mellitus to improve glycaemic control in adults as: Add-on combination therapy: In combination with other glucose–lowering medicinal products including insulin, when these, together with diet and exercise, do not provide adequate glycaemic control. Indication 2: Indicated in patients with type 2 diabetes mellitus (T2DM) and established cardiovascular disease (CVD) to reduce the risk of cardiovascular (CV) death: As an adjunct to diet, exercise and standard of care, to reduce the risk of cardiovascular (CV) death.",30 PT /KK (KUOTA),"- Starting dose is 10 mg empagliflozin once daily for monotherapy and add-on combination therapy with other glucose-lowering medicinal products including insulin. - In patients tolerating empagliflozin 10 mg once daily and need tighter glycaemic control, the dose can be increased to 25 mg once daily. - The maximum daily dose is 25 mg",,,,,
GLICLAZIDE 30MG MR TABLET,,,,,,B,Diabetes mellitus type 2,,"Initially, 30mg daily at breakfast time, may increase in successive steps to 60, 90 or 120mg daily at 1 month intervals. Max daily dose: 120mg",,,,,
GLICLAZIDE 80MG TAB,,,,,,B,Diabetes mellitus type 2,,"Initially 40-80mg daily. A single dose should not exceed 160mg and when higher doses are required, a twice daily split dosage is advised and should be divided. Maximum daily dose: 320mg. For elderly, starting dose should be 40mg twice daily.",,,,,
INSULIN DETEMIR 100IU/ML INJECTION IN PREFILLED SYRINGE/CARTRIDGE,,,,,,A/KK,"i)Type 1 Diabetes patients on basal bolus regimen, whom experience hypoglycaemia with conventional insulin, to be used in combination with rapid or short-acting insulin. ii)Type 2 Diabetes patients on oral anti-diabetics and basal insulin regimen or basal bolus insulin regimen whom experience hypoglycaemia with conventional basal insulin.","5 PT (KKS, KKTPG, KKJ, KKBC, KKTS), 10 PT (KKTD, KKB) (KUOTA)","Individualized dose given via SC once or twice daily. Initiate at a dose of 10IU or 0.1-0.2IU/kg. For twice daily dosing, the evening dose can be administered either with the evening meal, at bedtime, or 12 hours after the morning dose",,,,,
"INSULIN RECOMBINANT NEUTRAL HUMAN SHORT ACTING 100IU/ML PENFIL (INSUGEN R, DIABULYN R)",,,,,,B,Diabetes mellitus type 2,,"Dose to be individualised. The average daily insulin requirement is between 0.3-1.0 units/kg body weight/day. Daily insulin requirement may be higher in patients with insulin resistance, and lower in patients with residual, endogenous insulin production.",,,,,
INSULIN RECOMBINANT NEUTRAL HUMAN SHORT ACTING 100IU/ML PENFIL (ACTRAPID),,,,,,,,RESERVED FOR PATIENT WHO CANNOT TOLERATE INSUGEN R/ DIABULYN R,,,,,,
"INSULIN RECOMBINANT SYNTHETIC HUMAN INTERMEDIATE ACTING 100IU/ML PENFIL (INSUGEN N, DIABULYN N)",,,,,,B,"Insulin dependent diabetes mellitus, non insulin dependent diabetes unresponsive to treatment to diet or oral hypoglycaemics, hyperkalaemia to assure proper utilisation of glucose and reduce glucosuria in non diabetic patients receiving parenteral nutrition",,Dose to be individualised. The daily insulin requirement is usually between 0.3 and 1.0IU/kg /day,,,,,
INSULIN RECOMBINANT SYNTHETIC HUMAN INTERMEDIATE ACTING 100IU/ML PENFIL (INSULATARD),,,,,,,,RESERVED FOR PATIENT WHO CANNOT TOLERATE INSUGEN N/ DIABULYN N,,,,,,
"INSULIN 30% REGULAR & 70% ISOPHANE (NPH) PREMIXED (INSUGEN 30/70, DIABULYN 30/70)",,,,,,B,"Insulin dependent diabetes mellitus, non insulin dependent diabetes unresponsive to treatment to diet or oral hypoglycaemics, hyperkalaemia to assure proper utilisation of glucose and reduce glucosuria in non diabetic patients receiving parenteral nutrition",,Dose to be individualised. The average daily insulin requirement is between 0.5-1.0 units/kg body weight.,,,,,
INSULIN 30% REGULAR & 70% ISOPHANE (NPH) PREMIXED (MIXTARD),,,,,,,,RESERVED FOR PATIENT WHO CANNOT TOLERATE INSUGEN 30/70/ DIABULYN 30/70,,,,,,
INSULIN ASPART 100 IU/ML INJECTION,,,,,,A/KK,Diabetic Type 1 and 2 in patients that still experienced hypoglycaemia with use of human insulin,20 PT/KK,Dose to be individualised. The average daily insulin requirement is between 0.5 to 1.0 units/kg body weight,,,,,
INSULIN ASPART 30% & PROTAMINATED INSULIN ASPART 70% 100iu/ML INJECTION,,,,,,A/KK,Diabetic type 1 and 2 in patients that still experienced hypoglycaemia with use of human insulin,"30 PT (KKS),
45 PT (KKBC, KKTS)
60 PT (KKB)
75 PT (KKJ)
90 PT (KKTD)
115 PT (KKTPG)
(KUOTA)",Dose to be individualised. The average daily insulin requirement is between 0.5 to 1.0 units/kg body weight,,,,,
INSULIN GLARGINE 100iu/ML INECTION,,,,,,A/KK,i) Diabetes mellitus type I in adults and child over 6 years ii) Diabetes mellitus type II in adult,"40 PT (KKS)
50 PT (KKBC)
60 PT (KKB, KKTS)
70 PT (KKJ, KKTPG)
80 PT (KKTD)
(KUOTA)","ADULT and CHILD over 6 years: individualised dose given by SC, once daily at the same time every day. Adult patients who are insulin naÔve may be initiated with 10IU daily.",,,,,
METFORMIN HCL 500MG TAB,,,,,,B,Diabetes mellitus,,"Initial: 500mg orally twice daily with food. Maintenance: Titrate in 500mg increments weekly, doses up to 2000 mg daily may be divided into 2 equal doses.",,,,,
METFORMIN HCL 500MG EXTENDED RELEASE TAB,,,,,,A/KK,Diabetes mellitus who experienced gastrointestinal side effects with normal metformin,"100 PT (KKS), 150 PT (KKBC, KKTS), 200 PT (KKTPG, KKTD, KKJ, KKB) (KUOTA)",500 mg once daily. Maximum dose 2000 mg once daily with evening meal,,,,,
VILDAGLIPTIN 50MG TABLET,,,,,,A/KK,FUKKM restriction: As add-on therapy for patient who failed therapy and/or contraindicated/unable to tolerate metformin and/or sulphonylurea. i) As second line therapy in type 2 diabetes patients inadequately controlled on maximal tolerated dose of metformin monotherapy and high risk of hypoglycaemia. ii) As second line therapy in type 2 diabetes patients inadequately controlled on maximal tolerated dose of sulphonylurea and intolerant/contraindicated for metformin therapy. iii) As third line therapy in type 2 diabetes patients inadequately controlled with dual OAD combination therapy with sulphonylurea and metformin iv) As a monotherapy in type 2 diabetes mellitus patients inadequately controlled by diet and exercise alone and for whom metformin is inappropriate due to contraindications or intolerance. v) An adjunct to diet and exercise to improve glycaemic control in patients with type 2 diabetes mellitus: As a dual therapy in combination with insulin in patients with insufficient glycaemic control. Insulin dose and regimen should be optimized before addition of vildagliptin.,"120 PT (KKS, KKBC, KKB, KKTS) 240 PT (KKTPG, KKTD, KKJ) (KUOTA)","ADULT over 18 years: 50mg bd when combine with metformin, 50 mg od when combine with sulphonylurea",,,,,
CARBIMAZOLE 5MG TABLET,,,,,,B,Hyperthyroidism,,"ADULT: Initially, 10-60mg daily in divided doses given 8 hourly. Maintenance: 5 to 20mg daily. CHILDREN > 6 years: Initially 15mg daily in divided doses. CHILDREN 1-6 years: Initially 7.5mg daily in divided doses",,,,,
LEVOTHYROXINE SODIUM 25MCG TABLET,,,,,,B,Hypothyroidism,,"Start at low dose and increase at 2-4 weeks interval. Adult: Initially, 50-100 mcg/day may increase by 25-50 mcg at approximately 3 to 4 weeks intervals until the thyroid deficiency is corrected. Maintenance: 100-200 mcg/day. CHILD; 0 - 3 months: 10 - 15 mcg/kg/day; 3 - 6 months: 8 - 10 mcg/kg/day; 6 - 12 months: 6 - 8 mcg/kg/day; 1 - 5 years: 5 - 6 mcg/kg/day; 6 - 12 years: 4 - 5 mcg/kg/day; more than 12 years: 2 -3 mcg/kg/day",,,,,
LEVOTHYROXINE SODIUM 100MCG TABLET,,,,,,B,,,,,,,,
PROPYLTHIOURACIL 50MG TABLET,,,,,,B,Hyperthyroidism,,ADULT Initially 300-450mg in 8 hourly intervals (can be given up to 600-900mg/daily) until symptoms are controlled in 1-2 months. Maintenance 50-150mg daily for at least 12-18 months. CHILDREN 6-10 years: 50-150mg. CHILDREN > 10 years: 150-300mg daily. All doses are to be given in 3 divided doses daily. Taken with food.,,,,,
DEXAMETHASONE SODIUM PHOSPHATE 8MG/2ML INJECTION,,,,,,B,"i) Prophylaxis and management of nausea and vomiting in cancer chemotherapy, post-operation and palliative care, ii) Treatment of adrenocortical function abnormalities, iii) Any other treatment requiring corticosteroid therapy.",,"Initially 0.5 - 9 mg IM, IV or infusion daily, depending upon the disease being treated",,,,,
HYDROCORTISONE SODIUM SUCCINATE 100MG INJECTION,,,,,,C,Conditions responsive to systemic or local glucocorticoid injection therapy especially in emergencies,,"Initially 100 - 500 mg IV over 30 seconds to more than 10 minutes. Dose may be repeated at intervals of 2, 4 or 6 hours",,,,,
PREDNISOLONE 5MG TABLET,,,,,,B,i) Replacement therapy for primary and secondary adrenocortical insufficiency ii) Adrenogenital syndrome iii) Other therapy,,i) 5 - 25 mg daily in divided doses ii) 10 - 20 mg/m2 body surface daily in divided doses iii) ADULT: 5 - 60 mg daily. CHILD: 0.5 - 2 mg/kg/day in divided doses every 6 - 8 hours or as a single daily,,,,,
DEXTROSE POWDER,,,,,,B,Use as a diagnostic agent for diabetes,,75 g stat,,,,,
MEDROXYPROGESTERONE ACTATE 5MG TABLET,,,,,,B,i) Secondary amenorrhoea ii) Abnormal uterine bleeding due to hormonal imbalance,,i) 5-10 mg daily for 5-10 days started anytime during cycle ii) 5-10 mg daily for 5-10 days on day 16-21 of menstrual cycle. Optimum secretory transformation 10 mg daily for 10 days from day 16 of the cycle,,,,,
OXYTOCIN 10 UNITS/ML INJECTION,,,,,, gradually increase dose in increments of 1 - 2 milliunits/minute until desired contraction pattern is established,Induction of labour, dose may be decreased after desired frequency of contractions is reached and labor has progressed to 5 - 6 cm dilation,IV: 0.5 - 1 milliunits/minute,,,,,
OXYTOCIN 5 UNITS & ERGOMETRINE MALEATE 0.5MG/ML INJECTION,,,,,,C+,i) Prevention and treatment of post partum haemorrhage ii) Management of third stage of labour,,"i) 1 ml IM, may be repeated after 2 hours. Should not exceed 3 ml within 24 hours ii) For routine management of third stage of labour, 1 ml IM following delivery of the anterior shoulder or immediately after delivery of a child",,,,,
CLOTRIMAZOLE 500MG VAGINAL TABLET,,,,,,B,Vaginal candidiasis,,500 mg as a single one-time dose,,,,,
DESOGESTROL 150MCG & ETHINYLOESTRADIOL 30MCG TABLET,,,,,,C,Contraception,,"1 tablet daily for 21 days, subsequent courses repeated after 7 day interval (during which withdrawal bleeding occurs)",,,,,
LEVONORGESTREL 150MCG & ETHINYLOESTRADIOL 30MCG TABLET ,,,,,,C,Contraception,,"1 tablet daily for 21 days from first day of the cycle, followed by 7 tab free days",,,,,
MEDROXYPROGESTERONE ACETATE 50MG /3ML INJECTION,,,,,,B,Prevention of pregnancy and to provide long term contraception,,150mg to be administered once every 3 month,,,,,
NORETHISTERONE 0.35mg TABLET (NORIDAY),,,,,,C,Contraception,,1 tablet daily starting on the first day of the menstrual bleeding,,,,,
ETONOGESTREL 68MG IMPLANT,,,,,,A/KK,Contraception,"5 PT (KKB), 8 PT (KKTS), 10 PT (KKS, KKTD, KKBC), 15 PT (KKJ), 20 PT (KKTPG) (KUOTA)",A single implant inserted subdermally and can be left in place for three years. The implant can be removed at any time but not later than three years after the date of insertion.,,,,,
TERAZOSIN HCL 2MG TABLET ,,,,,,A/KK,"	
i) Treatment of Benign Prostatic Hyperplasia ii)Hypertension",,i) Initial dose: 1 mg at bedtime. Maintenance dose: 5-10mg once daily ii) Initial dose: 1mg at bedtime Maintenance dose: 1-5mg once daily. Max: 20-40mg/day,,,,,
TERAZOSIN HCL 5MG TABLET ,,,,,,,,,,,,,,
POTASSIUM CITRATE 3G/10ML & CITRIC ACID MIXTURE,,,,,,C,For systemic or urine alkalinization,,"ADULT: 15-30 ml well diluted with water. CHILD up to 1 year: 2.5 ml 3 times daily; 1 - 5 years: 5 ml 3 times daily; 6 - 12 years: 10 ml 3 times daily. To be taken well diluted with water, after meals and at bedtime.",,,,,
DEXTROSE 5% INJECTION,,,,,,B,For parenteral replenishment of fluid and minimal carbohydrate calories as required by the clinical condition of the patient,,According to the needs of the patient,,,,,
DEXTROSE 10% INJECTION,,,,,,B,For parenteral replenishment of fluid and minimal carbohydrate calories as required by the clinical condition of the patient,,According to the needs of the patient,,,,,
ORAL REHYDRATION SALT,,,,,,C,Replacement of fluid and electrolytes loss in diarrhoea,,ADULT: 200 - 400 ml ( 1 - 2 sachets ) for every loose motion. CHILD: 200 ml (1 sachet) for every loose motion. In severe dehydration 100 ml/kg for 3 - 4 hours. INFANT: 1 - 1.5 times their usual feed volume (50 ml per stool for small infant),,,,,
POTASSIUM CHLORIDE 1G/10ML INJECTION,,,,,,B,For the correction of severe hypokalaemia and when sufficient potassium cannot be taken by mouth,,By slow IV infusion depending on the deficit or the daily maintenance requirements. 1 g diluted in 500 ml normal saline or glucose and given slowly over 2 - 3 hours,,,,,
POTASSIUM CHLORIDE 600MG SR TABLET,,,,,,B,For the treatment and specific prevention of hypokalaemia,,ADULT: 2 - 3 tablets daily. Severe deficiency: 9 - 12 tablets daily or according to the needs of the patient,,,,,
SODIUM BICARBONATE 8.4% (1MMOL/ML) INJECTION,,,,,,B,For acceleration of excretion in drug intoxication (where excretion of the drug into the urine is accelerated by elevated urine pH) and for acidosis,,According to the needs of the patient. In severe shock due to cardiac arrest: 50 ml by IV,,,,,
SODIUM CHLORIDE 0.9% WITH DEXTROSE 5% INJ,,,,,,C,For replenishing fluid and energy and for restoring or maintaining the concentration of sodium and chloride ions,,According to the needs of the patient,,,,,
SODIUM CHLORIDE 0.18% WITH DEXTROUS 4.23% INJECTION,,,,,,B,For replenishing fluid and energy and for restoring or maintaining the concentration of sodium and chloride ions,,According to the needs of the patient,,,,,
SODIUM CHLORIDE 0.45% INJECTION,,,,,,B,For replenishing fluid and for restoring / maintaining the concentration of sodium and chloride ions,,100 - 1000 ml by IV or according to the needs of the patient,,,,,
SODIUM CHLORIDE 0.9% INJECTION,,,,,,C,For replenishing fluid and for restoring/maintaining the concentration of sodium and chloride ions,,100 - 1000 ml by IV or according to the needs of the patient,,,,,
COMPOUND SODIUM LACTATE  (HARTMANNS SOLUTION),,,,,,C,"Replacement of extracellular losses of fluid and electrolytes, as an alkaliniser agent",,100-1000 ml by IV or according to the needs of the patient,,,,,
WATER FOR INJECTION 10ML,,,,,,C+,As a diluent and vehicle for the administration of medications,,According to the needs of the patient,,,,,
CALCIUM CARBONATE 500MG TABLET,,,,,,B,To be used only for: a) Hyperphosphatemia (phosphate binding activity) in patients with chronic renal failure b) Calcium supplementation,,"a) Hyperphosphatemia: i) Stage 3 to 5 chronic kidney disease, total dose of elemental calcium from all sources (ie, dietary and calcium-based phosphate binder) not to exceed 2,000 mg/day ii) Stage 5 chronic kidney disease, total dose of elemental calcium from calcium-based phosphate binder not to exceed 1,500 mg/day b) Calcium supplementation 1,000-2,500mg elemental calcium per day in divided doses (500mg tablet contains 200mg elemental calcium)",,,,,
CALCIUM GLUCONATE 1G/10ML INJ,,,,,,B,i)Acute hypocalcaemia ii)Hypocalcaemic tetany iii)Cardiac resuscitation,,"i) 1-2 g (2.25-4.5 mmol). CHILD 50 mg/kg ii) ADULT 1g (2.2 mmol) by slow IV injection followed by continuous infusion of 4 g (8.8 mmol) daily iii) IV or intracardiac injection, 10 ml",,,,,
MAGNESIUM SULPHATE 2.47G/5ML INJECTION,,,,,,C,i)Treatment and prophylaxis of acute hypomagnesaemia ii) Prevention and treatment of life-threatening seizures in the treatment of toxemias of pregnancy (pre-eclampsia and eclampsia),,"i)Mild hypomagnesemia (ADULT): 1gm magnesium sulphate (8mEq) IM every 6 hours for 4 doses. Severe hypomagnesemia (ADULT): 0.25 g/kg IM over 4 hours. Alternative dose of 5g may be given by slow intravenous infusion over 3 hours ii) Toxemia of pregnancy: An initial intravenous dose of 4gm of magnesium sulphate is recommended. Followed by an intramuscular dose of 4-5gm into each buttock. This may be followed by a dose of 4-5gm into alternate buttocks every 4 hours as needed. Alternatively, the initial dose IV dose may be followed by an infusion of 1-2gm/hr",,,,,
ALFACALCIDOL 0.25mcg CAPSULE,,,,,, CHILD under 20kg body weight : 0.05 mcg/kg/day. Maintenance dose : 0.25 mcg to 2 mcg daily,i) Renal osteodystrophy in patients on haemodialysis ii) Hypoparathyroidism and pseudohypoparathyroidism iii) Adjunct to the management of tertiary hyperparathyroidism iv) Rickets and osteomalacia v) Osteoporosis,A/KK,nitial dose ADULT and CHILD above 20kg body weight : 1 mcg daily,,,,,
ALFACALCIDOL 1 mcg CAPSULE,,,,,, CHILD under 20kg body weight : 0.05 mcg/kg/day. Maintenance dose : 0.25 mcg to 2 mcg daily,i) Renal osteodystrophy in patients on haemodialysis ii) Hypoparathyroidism and pseudohypoparathyroidism iii) Adjunct to the management of tertiary hyperparathyroidism iv) Rickets and osteomalacia v) Osteoporosis,A/KK,nitial dose ADULT and CHILD above 20kg body weight : 1 mcg daily,,,,,
IRON (III)-HYDROXIDE POLYMALTOSE COMPLEX (IPC) 100MG IRON AND 0.35MG FOLIC ACID CHEWABLE TABLET,,,,,,A/KK,Treatment of iron deficiency without anaemia and iron deficiency anaemia,"10 PT (KKKEBUN, KKKD), 20 PT (KKS, KKTS), 25 PT (KKTPG, KKBC), 40 PT (KKJ, KKTD, KKB) (KUOTA)",Dosage and duration of therapy are dependent upon the extent of iron deficiency. Manifest iron deficiency: 1 chewable tablet two to three times daily until a normalization of the hemoglobin value is achieved. Afterwards the therapy should be continued with 1 chewable tablet daily at least until the end of pregnancy to replenish the iron stores. Latent iron deficiency and prevention of iron and folic acid deficiency: 1 chewable tablet daily,,,,,
"Ferrous controlled release 525 mg, Vitamin B1, Vitamin B2, Vitamin B6, Vitamin B12, Vitamin C, Niacinamide, Calcium Pantothenate, Folic Acid 800 mcg Tablet (IBERET FOLIC 500 FILM TAB)",,,,,,A/KK,"Anemia due to iron deficiency, megaloblastic anemia where there is an associated deficiency of Vitamin C and Vitamin B-complex particularly in pregnancy. In primary health clinic, the indication is restricted to anemia due to iron deficiency in pregnant women ONLY.",,One tablet daily,,,,,
PRE/POST NATAL VITAMIN & MINERAL CAPSULE,,,,,,C+,Vitamin and mineral supplement for use during pregnancy and lactation,,1 capsule daily or based on individual requirements,,,,,
PYRIDOXINE HCL 10 MG TABLET (VITAMIN B6),,,,,,C+,i)Pyridoxine-dependent convulsions in infant ii)Sideroblastic anaemia iii)B6-deficient anaemia in adult iv) Prophylaxis to peripheral neuritis in isoniazid therapy v) Nausea and vomiting of pregnancy and irradiation sickness,,"i) INFANT 4 mg/kg daily for short periods ii) 100 - 400 mg daily in divided doses iii) ADULT 20 - 50 mg up to 3 times daily iv) Prophylaxis 10 mg daily, therapeutic 50 mg 3 times daily v) 20 - 100 mg daily",,,,,
THIAMINE MONONITRATE 10MG TABLET,,,,,,C,For the prevention or treatment of Vitamin B1 deficiency syndromes including beri-beri and peripheral neuritis associated with pellagra,,i) Mild to chronic deficiency: 10-25 mg daily ii) Severe deficiency: 200- 300 mg daily,,,,,
VITAMIN B COMPLEX TABLET,,,,,,C+,Prophylaxis and treatment of vitamin B deficiency,,1-2 tablets daily,,,,,
VITAMIN K1 1MG/ML INJECTION ,,,,,,C+,Vitamin K deficiency in neonates,,"Prophylaxis of vitamin K deficiency bleeding in neonates Child: Neonate: 0.5-1 mg, given as a single dose via IM inj. Alternatively, 2 mg may be given orally, followed by a 2nd dose of 2 mg after 4-7 days. Intravenous Vitamin K deficiency bleeding in neonates Child: Infant: 1 mg by IV/IM/SC inj, further doses may be given if necessary",,,,,
FOLIC ACID 5MG TABLET,,,,,, 1 to 5 years:2.5mg/day,i) For the prevention and treatment of folate deficiency states ii) For the prevention of neural tube defect in the foetus,6-12 years: 5mg/day ii) 5 mg daily starting before pregnancy and continued through the first trimester,i) ADULT initially 10-20mg mg daily for 14 days or until haematopoietic response obtained. Daily maintenance: 2.5 mg-10mg .CHILD up to 1 year:250 mcg/kg daily,,,,,
IRON DEXTRAN 50MG FE/ML INJECTION,,,,,,B,Severe iron deficiency anaemia,,"An initial test dose of 0.5 ml should be given over the desired route. For severe iron deficiency anaemia, 1-2 ml daily given by deep IM. Dosage is individualized according to total iron deficit",,,,,
ALLOPURINOL 100 mg TABLET,,,,,,A/KK,i) Frequent and disabling attacks of gouty arthritis (3 or more attacks/year). ii) Clinical or radiographic signs of erosive gouty arthritis. iii) The presence of tophaceous deposits. iii) Urate nephropathy. iv) Urate nephrolithiasis. v) Impending cytotoxic chemotherapy or radiotherapy for lymphoma or leukaemia,,Initial dose : 100-300 mg daily. Maintenance : 300-600 mg daily. Maximum: 900 mg daily,,,,,
ALLOPURINOL 300 mg TABLET,,,,,,,,,,,,,,
PROLASE TABLET,,,,,,B,Oedema and inflammation in conjunction with other physical or chemotherapeutic measures,,"2 tablet 4 times daily for the first day, then 1 tablet 4 times daily for at least 5 days.",,,,,
CHLORAMPHENICOL 0.5% EYE DROPS,,,,,,C,Broad spectrum antibiotic in superficial eye infections,,nstill 1 drop of a 0.5% solution every 2 hr. Increase dosage interval upon improvement. To continue treatment for at least 48 hr after complete healing,,,,,
CHLORAMPHENICOL 1% EYE OINTMENT,,,,,,C,Treatment of ocular infections involving the conjunctiva and/or cornea caused by chloramphenicol susceptible organisms,,"ADULT and CHILD : Apply to the conjunctiva, a thin strip (approximately 1 cm) of ointment every 3 hours or more frequently",,,,,
CHLORAMPHENICOL 5%W/V  EAR DROPS,,,,,,C,"Acute otitis media, otitis externa with perforation",,Apply 2 - 3 drops into the ear 2 - 3 times daily. Not to be used for long term,,,,,
SODIUM BICARBONATE 5%W/V EAR DROPS,,,,,,C,To soften the impacted ear wax,,2-3 drops 3-4 times daily,,,,,
BUDESONIDE 64MCG NASAL SPRAY,,,,,,A/KK,"Seasonal allergic, perennial rhinitis and nasal polyposis",,ADULT and CHILD 6 years and older. Rhinitis : 2 spray into each nostril once daily in the morning or 1 spray into each nostril twice daily. Nasal polyps : 2 spray twice daily,,,,,
SODIUM CHLORIDE 0.9% NASAL DROP,,,,,,C,Acute cold,,1 - 2 drops three time daily in each nostril ,,,,,
GLYCERIN,,,,,,C,For relief of the pain and discomfort in mouth ulcers and sores,,Apply to area 4 times daily,,,,,
CHLORPHENIRAMINE MALEATE 10MG/ML INJ,,,,,,B,Allergic conditions,,"10 - 20 mg IM or SC, repeated if required. Not to exceed 40 mg in 24 hours. 10 - 20 mg over 1 minute by slow IV",,,,,
CHLORPHENIRAMINE MALEATE 2MG/5ML SYRUP,,,,,,C,Symptomatic treatment of allergic conditions responsive to antihistamine,,CHILD 2 - 5 years : 1 mg every 4 - 6 hours (maximum 6 mg daily) 6 - 12 years : 2 mg every 4 - 6 hours (maximum 12 mg daily),,,,,
CHLORPHENIRAMINE MALEATE 4MG TABLET,,,,,,C,Symptomatic treatment of allergic conditions responsive to antihistamines,,ADULT : 4 mg every 4 - 6 hours. Maximum 24 mg daily. CHILD 2 - 5 years : 1 mg every 4 - 6 hours (maximum 6 mg daily) 6 - 12 years : 2 mg every 4 - 6 hours (maximum 12 mg daily),,,,,
CETIRIZINE 10MG TABLET,,,,,,B,"Urticaria, allergic dermatoses (insect bites, atopic eczema), perennial rhinitis, allergic rhinitis",,ADULT and CHILD over 6 years:10 mg daily or 5 mg twice daily. Child 2-6 years: 5 mg once daily or 2.5 mg twice daily,,,,,
MECLOZINE HCL 25MG AND PYRIDOXINE 50MG TABLET,,,,,,B,Nausea and vomiting of pregnancy,20 PT/KK (KUOTA),Optimum dosing: 1 to 2 tablets OD. Maximum dosing: 4 tablets/day.,,,,,
PROMETHAZINE HCL 5MG/ML SYRUP,,,,,,B,Allergic conditions,,CHILD 2 - 5 years: 5 - 15 mg daily 5 - 10 years : 10 - 25 mg daily,,,,,
PROMETHAZINE HCL 25MG/ML INJECTION,,,,,,B,Allergic conditions,,"By deep IM: ADULT: 25 - 50 mg, maximum 100 mg. CHILD 5 - 10 years : 6.25 - 12.5 mg. By slow IV: 25 - 50 mg in a solution of 2.5 mg/ml in water for injection. Maximum 100 mg",,,,,
BROMHEXINE HCL 4MG/5ML ELIXIR,,,,,,B,Secretolytic therapy in acute and chronic bronchopulmonary diseases associated with abnormal mucous secretion and impaired mucous transport,,"Adult: 8-16 mg three times daily. Children: By body weight: 0.3 mg/kg/day 8 hourly for 7 days, then 0.15 mg/kg/day 8 hourly; or Based on age: 6-12 years – 4mg three times daily; 2-6 years – 2mg three times daily; Less than 2 years – 1mg three times daily.",,,,,
