Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
Ketoprofen 2.5% Gel,Orudis,Musculo-skeletal System > Topical Products for Joint and Muscular Pain,M02AA10-000-G30-01-XXX,No,LP,A/KK,"Local treatment of osteoarticular & muscular painful disorders of rheumatic or traumatic origin: Contusions, distortions, muscle strains, stiff neck, lumbago.",-,Apply onto affected areas 2-4 times daily up to 10 days.,Pruritus and localised erythema,"Hypersensitivity. Avoid in patients whom aspirin or other NSAIDs-induced asthma or other allergic-type reactions. Avoid in patient with exudative dermatoses, eczema sores & infected skin or broken skin. Do not apply to the mucous membranes or eyes.",Not known,"Bronchial asthma. Avoid in children less than 5 years. If skin rash occurs after gel application, treatment should be stopped. Severe renal impairment. Avoid direct excessive sunlight during treatment or 2 weeks following treatment discontinuation. Pregnancy and lactation.",True
Labetalol HCl 100mg Tablet,,Cardiovascular System > Beta Blocking Agents,C07AG01-110-T10-01-XX,Yes,APPL,B,"i) Mild, moderate or severe hypertension ii) Hypertension in pregnancy",None,i) & ii) Initial: 100mg twice daily Maintenance: 200-400mg twice daily Max. 2400mg daily in 3 or 4 divided doses Dosing is individualised and according to product insert / protocol.,"Hypotension, bradycardia, nausea, vomiting NPRA Safety Alert 1. 17 Okt 2022 Nipple pain, Raynaud's phenomenon of the nipple","Hypersensitivity to labetalol products, bradycardia, asthma/obstructive airway disease, cardiogenic shock, heart block overt cardiac failure","Alpha-1 adrenergic blockers, amiodarone, cimetidine, clonidine, digoxin, dihydropyridine, calcium channel blockers, diltiazem, enflurane, epinephrine, flunarizine, halothane, hypoglycemic agents, imipramine, isoflurane, lidoflazine, methyldopa, verapamil","Anaesthesia/surgery, including when used in cases to control bleeding (myocardial depression). Avoid abrupt withdrawal; gradual withdrawal over a period of 1 to 2 weeks is recommended. Bronchospastic disease, congestive heart failure, diabetes mellitus. The bioavailability and half-life of labetalol are increased in the elderly. In addition, the hypotensive response is greater in this age group following oral or i.v. administration. Therefore, lower doses of labetalol are likely to be required in elderly patients.",False
Levonorgestrel 150mcg and Ethinyloestradiol 30mcg Tablet,Rigevidon,Genito Urinary System and Sex Hormones > Sex Hormones and Modulators of the Genital System,G03AA07-954-T10-01-XXX,Yes,LP,C+,Contraception,None,"1 tablet daily for 21 days from first day of the cycle, followed by 7 tab free days","Thromboembolic disease, hypertension, gall bladder disease, nausea, vomiting, migraine","Thromboembolic disorders, cardiovascular disease, breast or endometrial cancer, oestrogen dependent neoplasia, undiagnosed abnormal vaginal bleeding, cholestatic jaundice of pregnancy, hepatic adenomas or carcinomas, known or suspected pregnancy","Effectiveness may be reduced by antibiotics, phenytoin, carbamazepine, barbiturates, rifampicin","Age, smoking, gall bladder disease, diabetes, hypertension, epilepsy, migraine, cardiac or renal dysfunction, history of depression, uterine fibroids, lactation. Gastrointestinal disease (impaired absorption of oral contraceptive steroids in the small bowel due to inflammatory disease)",False
Lignocaine (Lidocaine) 20 mg/ml Injection,,Cardiovascular System > Cardiac Therapy,C01BB01110P3001XX,Yes,LP,B,Ventricular tachycardia and ventricular fibrillation. For IV use. To be diluted before use,B,"50-100 mg IV as a bolus, repeated after 5 minutes if necessary. Maintenance : 1-4 mg/min by IV infusion under ECG monitoring","Nervousness, dizziness, paraesthesia, drowsiness, tinnitus, disorientation, blurred vision, tremor, convulsions, respiratory depression, hypotension, bradycardia","Hypersensitivity to amide local anesthetics, Stokes-Adams syndrome, Wolff-Parkinson-White syndrome,severe degrees of sinoatrial, AV or intraventricular block in absence of pacemaker, ophthalmic use","Beta-adrenergic blockers; increased lidocaine levels.Cimetidine;decreased lidocaine level. Class I antiarrhythmic agents (eg, tocainide, mexiletine);toxic effects are additive and potentially synergistic. Procainamide; additive neurological and cardiac effects. Succinylcholine;prolongation of neuromuscular blockade. Incompatibility with; amphotericin B, parenteral cephalosporins, doxycycline, epinephrine, isoprenaline, methohexital, nitroprusside, norepinephrine, phenytoin, sodium bicarbonate, sulfadiazine","Adams-Stokes syndrome, advanced heart failure. EKG monitoring for intravenous administration. Epidural anaesthesia; a test dose is recommended, heart block, hepatic disease, hypovolaemia, renal disease, severe degrees of sinoatrial, atrioventricular or intraventricular block. Shock, sinus bradycardia, spinal anaesthesia, severe haemorrhage, shock, heart block, local infection at injection site, septicaemia. Wolff-Parkinson-White syndrome",False
Lignocaine (Lidocaine) 2% Jelly,,Nervous System > Anesthetics,N01BB02-110-G40-01-XXX,No,APPL,B,"Use for endotracheal tubes and instruments, painful procedures in the ear, nose and throat, burns, wounds, abrasions, lacerations; catheterisation of the male and female urethra and for symptomatic treatment of cystitis and urethritis",None,Apply to affected area 10 mins before catheterization.,"Allergic reactions. Intoxication, cutaneous and hypersensitivity symptoms. Sore throat. Central nervous system excitation followed by depression with drowsiness, respiratory failure and coma, numbness of tongue and perioral region, myocardial depression, peripheral vasodilation, hypotension, bradycardia, arrhythmia, cardiac arrest. Prolonged use in the eye may lead to severe contact keratitis and corneal damage","Hypersensitivity to lidocaine or amide type of local anaesthetics. Hypovolaemia, heart block or other conduction disturbances",Potentiation of cardiac effects antiarrhythmias. Drugs structurally related to local anaesthesia,"Traumatised mucosa and sepsis in the region of application, chronic heart failure, bradycardia or respiratory depression, hepatic insufficiency. Should not be used as ophthalmic drug. Presence of sepsis or severely traumatized mucosa in area of application. When used for endotracheal tube lubrication, avoid introducing into the lumen of the tube. Closely supervise patients being treated with class III antiarrhythmic drugs eg amiodarone and monitor ECG due to the additive effects",False
Meclozine HCl 25mg and Pyridoxine 50mg Tablet,,Respiratory System > Antihistamines for Systemic Use,R06AE55-919-T10-01-XXX,No,LP,B,Nausea and vomiting of pregnancy,20 PT/KK (KUOTA),Optimum dosing: 1 to 2 tablets OD. Maximum dosing: 4 tablets/day.,"Drowsiness, dry mouth, blurred vision, headache, gastrointestinal disturbance",Hypersensitivity to meclozine,May enhanced sedative effect of central depressants including alcohol,"Use with caution in prostatic hyperthrophy, urinary retention, glaucoma and pyloroduodenal obstruction, hepatic disease, severe heart failure, asthma. Avoid operating vehicles and machinery. Meclozine may inhibit lactation",False
Medroxyprogesterone Acetate 500 mg Tablet,Provera/Farlutal,Antineoplastic and Immunomodulating Agents > Endocrine Therapy,L02AB02-122-T10-01-XXX,Yes,LP,A,"Breast carcinoma, endometrial carcinoma, renal carcinoma",-,200-500 mg orally daily,"Vaginal bleeding, cholestatic jaundice, depression, fluid retention, weight gain, hirsutism, acne, visual abnormalities, nausea, fatigue, galactorrhea, amenorrhea and anovulation, decreased glucose tolerance, thromboembolic phenomena, anaphylaxis, corticoid-like activity (high doses)","Hypersensitivity to medroxyprogesterone, thrombophlebitis, undiagnosed vaginal bleeding, impaired liver function, pregnancy, known or suspected malignancy of breast or genital organs, missed abortion","Aminoglutethimide, alprazolam, bexarotane, nevirapine, rifampicin","Examination of breast, pelvis and PAP smear before starting treatment. Diabetes, history of depression, cardiac dysfunction, ocular disorder, prolonged progestin therapy and bone mineral density loss",True
Mefenamic Acid 250mg Capsule,Ponstan,Musculo-skeletal System > Antiinflammatory and Antirheumatic Products,M01AG01-000-C10-01-XX,Yes,APPL,C,Mild to moderate pain,None,ADULT: 250 - 500 mg 3 times daily after meals.,"Diarrhoea, skin rash, allergic, glomerulonephritis, non-oliguric renal failure, thrombocytopenia, reversible haemolytic anaemia, hypertension, oedema, myocardial infarction NPRA Safety Alert 1. 2 Sept 2024 Mefenamic Acid-Associated Generalised Bullous Fixed Drug Eruption (GBFDE)","Gastrointestinal ulceration or inflammatory bowel disease, renal/hepatic impairment","Alendronate, ACEIs, antacids, beta-adrenergic blockers, calcium channel blocker, ciclosporin, diuretics, methotrexate, sulphonylureas, warfarin","Elderly, renal impairment, asthmatic sensitive to NSAIDs or salicylates, pregnancy, increased risk of serious cardivascular thrombotic events, myocardial infarction NPRA Safety Alert 1. 2 Sept 2024 Mefenamic Acid-Associated Generalised Bullous Fixed Drug Eruption (GBFDE)",False
Miconazole 2% Cream,,Dermatologicals > Antifungals for Dermatological Use,D01AC02221G1001XX,Yes,LP,C,"i) Fungal infections: Tinea pedis, Tinea corporis, Tinea capitis and other dermatophyte infections caused by Trichophyton and Epidermophyton species; ii) Antifungal agent that has been in various candida infections including vaginal candidiasis.",To be used as 2nd line treatment at health facilities without medical officer.,Apply sparingly and rub gently onto affected area 1-2 times daily continuing for 14 days after lesions have healed,"Ocassional skin irritation or sensitivity, contact dermatitis, vaginal burning due to cream base",Hypersensitivity to azole products.,Not known,"First trimester of pregnancy, lactation. Local sensitization or irritation, to discontinue use. Do not use in children below 2 years old except under the advice and supervision of a doctor.",False
Midazolam 5mg/5ml Injection,Dormicum,Nervous System > Psycholeptics,N05CD08-110-P30-01-XX,Yes,Government Contract,"A, A/KK","Prescriber Category A: Pre-operative sedation, induction of general anaesthesia, premedication and sedation in ICU and sedation for minor procedures Prescriber Category A/KK: For induction of intubation and sedation post-intubation",5 VIAL/KK (EMERGENCY TROLLEY ITEM ONLY),"Pre-operative sedation, induction of general anaesthesia, premedication and sedation in ICU and sedation for minor procedures : Usual sedative range 2.5 - 7.5 mg (about 70 mcg/kg by IV injection over 30 seconds). Premedication by IM injection 70 - 100 mcg/kg 30 -60 minutes before surgery; ELDERLY: 1 - 1.5 mg/kg. Induction: Induction by slow IV infusion 200 - 300 mcg/kg (ELDERLY 100 - 200 mcg/kg. CHILD over 7 years 150 - 200 mcg/kg); Maximum: 0.35mg/kg. Sedation in ICU 0.03 - 0.2 mg/kg/hour For induction of intubation and sedation post-intubation : Induction: Induction by slow IV infusion 200 - 300 mcg/kg (ELDERLY 100 - 200 mcg/kg. CHILD over 7 years 150 - 200 mcg/kg); Maximum: 0.35mg/kg. Sedation: 0.03 - 0.2 mg/kg/hour","Muscle stiffness, induration of veins, pain, redness, headache, apnoea, nausea, coughing, vomitting, drowsiness, respiratory depression, phlebitis, gastrointestinal disturbances, increased appetite, jaundice, hypotension, bronchospasm, pain at the site of injection","Acute narrow angle glaucoma, hypersensitivity to midazolam products, acute alcohol intoxication, shock, lactation","Neuroleptics, tranquilizer, antidepressant, hypnotics, analgesics, anaesthetics, antipsychotics, anxiolytics, antiepiletics, antihistamines, erythromycin, clarithromycin, cimetidine, omeprazole, diltiazem, efavirenz, indinavir, nelfinavir, ritonavir, saquinavir, fluvoxamine, halothane, sevoflurane, thiopental, itraconazole, theophylline, atorvastatin","Elderly, COPD, congestive heart failure, respiratory failure, severe electrolyte and fluid disturbances, pregnancy and lactation, hepatic and renal impairment, labor and delivery, prolonged use and abrupt withdrawal, moderate lowering of intraocular pressure in ophthalmic. Children under 15 kg not to exceed 1 mg/ml",True
Magnesium Trisilicate Mixture,Rexom Mist Magnesium Trisilicate,Alimentary Tract and Metabolism > Drugs for Acid Related Disorders,A02AA10-912-L21-01-XXX,Yes,Government Contract,C,"Heartburn, dyspepsia",None,ADULT children over 12 years: 10-20ml 3 times daily or as required; CHILD: 5-11 years: 5-10 ml three times a day or as required,"Diarrhoea, systemic alkalosis has been reported when administered orally with cation-exchange resins","Acute surgical abdomen, hypersensitivity to antacids, hypophosphataemia","Major: sodium polystyrene sulfonate (advoid). Moderate: tetracyclines, ketoconazole, itraconazole, dipyridamole, quinolones, captopril, iron and aspirin (adjust frequency interval)","Renal impairment-nonabsorbable calcium, magnesium or aluminum preparations such as antacids or laxatives should not be used in patients receiving oral cation-exchange resins. Alternatively, the interaction may be avoided by administering the resin as an enema",False
Naloxone HCl 0.02mg/ml Injection,,Various > All Other Therapeutic Products,V03AB15-110-P30-01-XX,Yes,APPL,B,For the complete/partial reversal of narcotic depression including respiratory depression induced by opioids such as natural and synthetic narcotics. Diagnosis of suspected acute opioids overdosage,None,"0.005 - 0.01 mg/kg body weight repeated at intervals of 2 - 3 minutes according to the patient's needs by IM, IV or SC","Opiate withdrawal symptoms, nausea, vomiting, tachycardia, tremor, sweating, pulmonary oedema, hyperventilation, cardiac dysrhythmia, biliary colic, dysphagia, memory impairment, seizure, agitation, dyspnea, laryngeal spasm, pulmonary edema, tachyarrhythmia",Hypersensitivity to naloxone,Clonidine: hypertension,"Dependence may precipitate withdrawal symptoms, concurrent cardiotoxic drugs, pre-existing cardiac disease, narcotic dependency, pregnancy, lactation, neonates",False
Norethisterone 0.35 mg Tablet,Noriday,Genito Urinary System and Sex Hormones > Sex Hormones and Modulators of the Genital System,G03AC01000T1001XX,No,Government Contract,C+,Contraception,None,1 tablet daily starting on the first day of the menstrual bleeding,"Gastrointestinal distress, oedema, menstrual disorders, dermatologic effects, nausea, fatique, depression, acne, hirsutism, breast tenderness, thromboembolic phenomena, galactorrhoea, decreased glucose tolerance, anaphylaxis, corticoid like reaction (high doses)","Hypersensitivity, breast carcinoma, liver disease or dysfunction, pregnancy, incomplete abortion, abnormal and undiagnosed vaginal bleeding, active or history of thromboembolic disease, thrombophlebitis, hypercoagulable state. Cerebral vascular or coronary artery diseases","Effectiveness may be reduced by antibiotics, phenytoin, carbamazepine, barbiturates, rifampicin","Gastrointestinal disease (impaired absorption of oral contraceptive steroids in the small bowel due to inflammatory disease, diarrhoea, ileostomy or jejunoileal bypass may result in contraceptive failure)",False
"Nystatin 100,000units/ml Suspension",Mycostatin,"Alimentary Tract and Metabolism > Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",A07AA02-000-L80-01-XXX,Yes,LP,B,"Prevention and treatment of candidiasis of the skin and mucous membranes, protection against candidas overgrowth during antimicrobial /corticosteroid therapy and as selective decontamination regimens",None,"Treatment: Adult & Children: 100,000 to 600,000 units 6 hourly; Infant: 100,000 – 200,000 units 6 hourly; Neonates: 100,000 units 8 hourly. Prophylaxis: Adult: 1,000,000 units daily; Neonates and Infants: 100,000 units 2-3 times a day; Children: 250,000 – 500,000 units 2-3 times a day.","GI disturbances, rash, urticaria , Steven Johnson Syndrome, oral irritation",Hypersensitivity to nystatin,Not known,"Not intended to treat systemic mycoses. If hypersensitivity develops, discontinue use",False
Oral Rehydration Salt,-,"Alimentary Tract and Metabolism > Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",A07CA00-905-F21-01-XXX,Yes,Government Contract,C,Replacement of fluid and electrolytes loss in diarrhoea,None,Dissolve 1 sachet in 200 or 250mL of water according to product insert. The amount to give depends on hydration status. ADULT: 200-400mL (1 - 2 sachets) for every loose motion / diarrhoea / vomiting CHILD (2 yrs & above): 100-200mL (1 sachet) for every loose motion / diarrhoea / vomiting. In severe dehydration 100ml/kg for 3-4 hours. INFANT (up to 2 yrs): 1 - 1.5 times their usual feed volume (50-100mL) each diarrhoea/vomiting Dose is according to product insert and dependent on the product / brand used as well as patient comorbidities e.g. heart failure and chronic kidney disease.,"Hypernatremia, nausea and vomiting",Patients with renal failure or hyperkalaemia,Potassium sparing diuretics,"Cardiac failure, hypertension, impaired renal function, peripheral and pulmonary oedema, toxaemia in pregnancy",False
Oxytocin 10units/ml Injection,Pitocin,"Systemic Hormonal Preparations, excl. Sex Hormones and Insulins > Pituitary and Hypothalamic Hormones and Analogues",H01BB02-000-P30-01-XXX,Yes,APPL,B,"i) Induction of labour ii) Inadequate uterine effort iii) Management of third stage of labour iv) Prevention and treatment of post-partum haemorrhage v) As adjunctive therapy for the management of incomplete, inevitable or missed abortion", dose may be decreased after desired frequency of contractions is reached and labor has progressed to 5 - 6 cm dilation,"i & ii) Intiate at 2 milliunits/min, may be increased by 4 miliunits/min gradually at 30 minute intervals. Dose may be decreased once a contraction pattern similar to normal labour is achieved and labor has progressed to 5 - 6 cm dilation. Maximum dose of oxytocin for multiparae - 16 miliunits/min and nulliparae-32 miliunits/min. iii) IV/IM: 5 -10 units iv) IV : 5-10 units followed by IV infusion at 10 units/hour v) Initial: 5 units given via slow inj over 5 minutes, may be followed by an infusion at a rate of 20-40 milliunits/minute as necessary The dosing is individualized based on maternal, fetal response and product insert / protocol","Gastrointestinal upsets, water intoxication resulting from large amounts of solution or too rapid infusion, cardiac arrhythmias","Hypersensitivity to oxytocin, significant cephalopelvic disproportion, unfavorable fetal positions, fetal distress, hypertonic or hyperactive uterus, contraindicated vaginal delivery","Prostaglandins, inhalation anaesthetics, vasoconstrictor agents","For induction or enhancement only as IV infusion, careful monitoring of fetal heart rate and uterine contractions are required",False
Oxytocin 5 units & Ergometrine Maleate 0.5 mg/ml Injection,Syntometrine,Genito Urinary System and Sex Hormones > Other Gynecologicals,G02AC01-900-P30-01-XXX,Yes,APPL,C+,i)Prevention and treatment of postpartum haemorrhage associated with uterine atony. ii)Active management of third stage of labour,None,"i) 1 ml IM, may be repeated after 2 hours. Should not exceed 3 ml within 24 hours ii) For routine management of third stage of labour, 1 ml IM following delivery of the anterior shoulder or immediately after delivery of the child","Gastrointestinal upsets, abdominal pain, headache, dizziness, skin rashes. Rarely hypertension, bradycardia, cardiac arrthymias, chest pain, anaphylactoid reactions","Pregnancy, labour (except second stage following delivery of the anterior shoulder), severe hypertension, pre-eclampsia, eclampsia, severe disorders of cardiac, hepatic or renal function, occlusive vascular disease, sepsis and in patients with a history of hypersensitivity","Vasoconstrictors, prostaglandins, halothane anaesthesia","Hypertension, cardiac, hepatic or renal disease. Should not be given until after delivery of child & in multiple births not until the last child has been delivered",False
Salbutamol 0.5mg/ml Injection,Ventolin,Respiratory System > Drugs for Obstructive Airway Diseases,R03CC02-183-P30-01-XXX,Yes,LP,A,i. Asthma and other conditions associated with reversible airways obstruction ii. For prevention of uncomplicated premature labour,None,"i. 500 mcg by SC/IM injection 4 hourly or 250 mcg by slow IV. If required, by IV infusion, initially 5 mcg/min adjusted according to response and heart rate, usually in the range 3 - 20 mcg/min ii. Infusions containing 5 mg in 500ml (10 mcg/ml) at the rate of 10 - 45 mcg/min increased at intervals of 10 minutes until evidence of patient response as shown by reduction of strength, frequency or duration of contractions; maintain rate for 1 hour after contractions have stopped, then gradually reduce by 50% every 6 hours","Haemorrhage, thrombocytopenia, tachycardia and palpitations, erythema, ventricular ectopic beats, myocardial ischaemia and infarction have been reported following IV administration. Fine tremor (particularly in the hands), nervous tension, headache, peripheral dilatation and palpitations, tachycardia, arrhythmias, disturbances of sleep and behaviour in children. Muscle cramps and hypersensitivity reactions including paradoxical bronchospasm, urticaria, and angioedema","Hypersensitivity, hyperthyroidism or thyrotoxicosis, tachycardia or tachycardiac arrthymias, subvalvular aortic stenosis","Monoamine oxidase inhibitors - increased risk of tachycardia, agitation or hypomania","Thyrotoxicosis, pregnancy and lactation. Potential for paradoxical bronchospasm, patients with cardiovascular disorders, hyperthyroidism, diabetes mellitus, phaeochromocytoma, patients with history of aneursym and patients who are usually responsive to sympathomimetics amines. Labour and delivery may be complicated",True
Salbutamol 0.5% Inhalation Solution,Ventolin,Respiratory System > Drugs for Obstructive Airway Diseases,R03AC02-183-A30-01-XXX,Yes,APPL,B,Indicated for the relief of bronchospasm in patients with reversible obstructive airway disease and acute bronchospasm.,-,"2.5 to 5mg (0.5ml – 1ml), repeat according to response and tolerability. Dosing is individualised and according to product insert/protocol.","Slight tremor (particularly in the hands), nervous tension, headache, peripheral dilatation and palpitations, tachycardia, arrhythmias, disturbances of sleep and behaviour in children, muscle cramps, hypersensitivity reactions including paradoxical bronchospasm, urticaria, angioedema, hypotension, pulmonary oedema, erythema multiforme",Hypersensitivity to any of their components,"Antagonism with beta-blockers. Use with caution with additional adrenergic drugs, MAOI inhibitors or tricyclic antidepressants - increased risk of tachycardia, agitation or hypomania","Thyrotoxicosis, hyperthyroidism, cardiovascular disease, arrhythmias, susceptiility to QT-interval prolongation, hypokalaemia, diabetes mellitus, not appropriate for managing premature labour, pregnancy and lactation",False
Salbutamol 100mcg/dose Inhalation,"Ventolin, Buventol",Respiratory System > Drugs for Obstructive Airway Diseases,R03AC02-183-A10-01-XXX,Yes,APPL,B,Asthma and other conditions associated with reversible airways obstruction,None,ADULT : 100 - 200 mcg up to 3 - 4 times daily. CHILD : 100 mcg increased to 200 mcg if necessary,"Slight tremor (particularly in the hands), nervous tension, headache, peripheral dilatation and palpitations, tachycardia, arrhythmias, disturbances of sleep and behaviour in children, muscle cramps, hypersensitivity reactions including paradoxical bronchospasm, urticaria, angioedema, hypotension, pulmonary oedema, erythema multiforme",Hypersensitivity to any of their components,"Antagonism with beta-blockers. Use with caution with additional adrenergic drugs, MAOI inhibitors or tricyclic antidepressants - increased risk of tachycardia, agitation or hypomania","Thyrotoxicosis, pregnancy and lactation, hyperthyroidism, cardiovascular disease, arrhythmias, susceptiility to QT-interval prolongation, hypokalaemia, diabetes mellitus, not appropriate for managing premature labour, pregnancy and lactation",False
Selegiline HCl 5 mg Tablet,Jumex,Nervous System > Anti-parkinson Drugs,N04BD01110T1001XX,No,APPL,A*,Only for treatment of late stage Parkinsonism with on and off phenomenon,None,5 mg twice daily at breakfast and lunch. Maximum 10 mg/day,"Hypotension, nausea, confusion, agitation, hallucination, dyskinesia, sleep disturbances, psychosis, constipation, dry mouth, headache, tremor, dizziness","Extrapyramidal symptoms not related to dopamine deficiency, thyrotoxicosis, narrow angle glaucoma agitated psychosis, hypersensitivity to selegiline products. Pregnancy","Hyperpyrexia and central nervous system toxicity with pethidine. Hypertension and central nervous system excitation with fluoxetine and sertraline. Hypotension with MAOIs. Carbamazepine, amitriptyline, amphetamine","History of peptic ulcer, pregnancy and lactation, elderly, concurrent use of tricyclic antidepressants, uncontrolled hypertension. Suicidal ideation and behavior or worsening depression, increased risk during the first few months of therapy or following changes in dosage (particularly in children, adolescents and young adults with major depressive disorder)",True
Sodium Bicarbonate 8.4% (1 mmol/ml) Injection,-,Blood and Blood Forming Organs > Blood Substitutes and Perfusion Solutions,B05XA02131P3002XX,Yes,APPL,B,i) For acceleration of excretion in drug intoxication (where excretion of the drug into the urine is accelerated by elevated urine pH) ii) For metabolic acidosis secondary to underlying diseases,None,According to the needs of the patient. In severe shock due to cardiac arrest: 50 ml by IV,"Gastrointestinal cramps, flatulence, alkalosis","Alkalosis, hypernatraemia, hypocalcaemia, hypochloraemia, severe pulmonary oedema, unknown abdominal pain","Amphetamine, aspirin, chlorpropamide, dextroamphetamine, ephedrine, itraconazole, ketoconazole, lithium, pseudoephedrine, flecainide","Renal impairment, peptic ulcer, congestive heart failure, oedema, cirrhosis",False
Sodium Chloride 0.45% Injection,-,Blood and Blood Forming Organs > Blood Substitutes and Perfusion Solutions,B05XA03100P6001XX,Yes,APPL,B,For replenishing fluid and for restoring / maintaining the concentration of sodium and chloride ions,None,100 - 1000 ml by IV or according to the needs of the patient,"Nausea, vomiting, diarrhoea, abdominal cramps, congestive heart failure, hypertension, tachycardia, fluid accumulation, irritability, restlessness, weakness, headache, dizziness, obtundation and convulsions","Hypernatraemia or fluid retention, hypersensitivity (ophthalmic products), sodium chloride solutions with preservatives in newborns, for injection or flushing of intravenous lines or mixing medications, hypertonic saline abortifacient in pregnancies less than 15 weeks",Not known,"Restrict intake in impaired renal function, cardiac failure, hypertension, peripheral and pulmonary oedema, toxaemia of pregnancy",False
Sodium Chloride 0.18% with Dextrose 10% Injection,-,Blood and Blood Forming Organs > Blood Substitutes and Perfusion Solutions,B05XA03904P6001XX,Yes,LP,B,For replenishing fluid and energy and for restoring or maintaining the concentration of sodium and chloride ions,None,According to the needs of the patient,"Thrombophlebitis, rebound hypoglycaemia, hypokalaemia, sodium accumulation and oedema","Hypernatraemia or fluid retention, hypersensitivity (ophthalmic products), sodium chloride solutions with preservatives in newborns, for injection or flushing of intravenous lines or mixing medications, hypertonic saline abortifacient in pregnancies less than 15 weeks",Not known,"Restrict intake in impaired renal function, cardiac failure, hypertension, peripheral and pulmonary oedema, toxaemia of pregnancy. Diabetes mellitus or carbohydrate intolerance and hyperglycaemia may accentuate neurologic damage for an ischaemic insult. Patients at risk for cerebral ischaemia, acute stroke, impending cardiac arrest or severe hypotension unless hypoglycaemia is suggested or until glucose is determined",False
Sodium Valproate 200mg/5ml Syrup,Epilim,Nervous System > Antiepileptics,N03AG01-520-L90-01-XXX,Yes,Government Contract,B,i) Treatment of generalized or partial epilepsy. ii) Treatment and prevention of mania associated with bipolar disorder,None,"i. Epilepsy: ADULT: Initially 600 mg/day in 2 - 3 divided doses, dose may be increased by 200 mg at 3-day intervals to max 2.5 g/day. Usual maintenance dose: 1-2 g/day (20-30 mg/kg/day). CHILD: - More than 20 kg. Initially 400 mg/day with spaced increases until control is achieved (usually 20-30 mg/kg/day), dose may be increased to 35 mg/kg/day. - Less than 20 kg 20 mg/kg/day, in severe cases the dose may be increased provided plasma concentration can be monitored. ii. Treatment and prevention of mania associated with bipolar disorders: ADULT: The recommended initial dose is 1000mg/day. The dose should be increased as rapidly as possible to achieve the lowest therapeutic dose, which produces the desired clinical effects. The recommended maintenance dosage for the treatment of bipolar disorder is between 1000mg and 2000mg daily. In exceptional cases, the dose may be increased to not more than 3000mg daily.","Nausea, vomiting, headache, dizziness, ataxia, tremor, weight gain, transient hair loss, oedema, thrombocytopenia (dose related), leukopenia. Gastrointestinal disorders, liver failure, children under the age of two years are at increased risk, pancreatitis NPRA Safety Alert (21 Jan 2020): - Risk of congenital malformations in neonates, and serious developmental problems among children whose mothers were exposed to sodium valproate during pregnancy.","Hepatic disease or significant hepatic dysfunction, hypersensitivity to valproate sodium, valproic acid or divalproex sodium, porphyria NPRA Safety Alert (31 Jan 2019): • Epilepsy: - valproate is contraindicated in pregnancy unless there is no suitable alternative treatment. - valproate is contraindicated in women of childbearing potential, unless the conditions described in the Direct Healthcare Professional Communication (DHPC) letter are fulfilled. • Bipolar disorder: - valproate is contraindicated in pregnancy. - valproate is contraindicated in women of childbearing potential, unless the conditions described in the DHPC letter are fulfilled.","Increases phenobarbital, primidone and phenytoin plasma concentrations. Potentiates toxic effect of carbamazepine. Risk of rash may be increased by coadministration with lamotrigine. May potentiate the effect of antipsychotics, MAOIs, antidepressants and benzodiazepines. Monitor prothrombin time when used with anticoagulants. Caution when used with newer anti-epileptics whose pharmacodynamics are not well-established. Zidovudine, mefloquine, chloroquine, imipenem, meropenem. NPRA Safety Alert (10 June 2018): - Drug-drug Interaction with Propofol","Avoid sudden withdrawal, certain metabolic disorders, fatigue, loss of appetite, vomiting. Pregnancy and lactation. Avoid concomitant use of salicylates in children less than 3 years due to risk of liver toxicity, use of salicylates in children less than 16 years is also not recommended. Monitor liver function before therapy and during first 6 months. Potential for an increase in risk of suicidal thoughts or behaviours. Pancreatitis, renal insufficiency, SLE, hyperammonaemia, diabetic patients, weight gain. Female children, female adolescents, women of childbearing potential, pregnancy (due to high teratogenic potential and risk of developmental disorders in infants exposed in utero to valproate)",False
Spironolactone 25 mg Tablet,,Cardiovascular System > Diuretics,C03DA01000T1001XX,Yes,APPL,B,"Oedema and ascites in cirrhosis of the liver, congestive heart failure",None,ADULT: 100 - 200 mg daily in divided doses. Increase to 400 mg if required. CHILD: initially 3 mg/kg daily in divided doses,"Headache, drowsiness, gastrointestinal disturbances including cramp and diarrhoea, ataxia, mental confusion, hirsutism, deepening of the voice, menstrual irregularities, impotence, skin rashes, hyponatraemia, hyperkalaemia","Hypersensitivity, hyperkalaemia, renal failure, anuria, patients receiving other potassium-sparing diuretics or potassium supplements","Angiotensin converting enzyme inhibitors, ciclosporin: hyperkalaemia. Aspirin: decreased spironolactone effectiveness. Digoxin: digoxin toxicity (nausea, vomiting, cardiac arrhythmias). NSAIDs: reduced diuretic effectiveness, hyperkalaemia","Hyperkalaemia or progressive renal failure, impaired hepatic or renal function, diabetes mellitus, patients likely to develop acidosis. Pregnancy and lactation",False
